user_review_no,rating,time_ago,comment_likes,user_text,Service,Vegetarian offerings,Wheelchair accessibility,Kid-friendliness,Price per person,Atmosphere,Vegetarian options,,Meal type,Parking space,Dietary restrictions,Parking options,Parking,Recommendation for vegetarians,Recommended dishes,Food
 99 reviews ,5 stars,7 months ago,4,"Wide range of FAST FOOD and mughlai and Chinese and continental. crispy baby corn and garlic noodle one of the tasty food which they offere. White Sauce, Jugalbandi Pizza, Masala Dosa, Paneer Butter Masala, White Sauce Pasta, Cheese Rolls, Veg Pasta, Pav Bhaji and Crispy Baby Corn, Aloo Paratha with Chhole, Paratha, Cheesy Tacos, Hakka Noodles, Chilli Garlic Noodles, Fried, Chinese Bhel, Gulab Jamun, Veg Roll, Mushroom Rolls, Chhole Bhature and Veg Noodles.
It is located near V2 mall and PW coaching centre at Lanka road.",4,"Menu is all vegetarian, Large vegetarian selection",,,₹200–400,5,,,Dinner,,,,,Highly recommend,"White Sauce, Jugalbandi Pizza, Masala Dosa, Paneer Butter Masala, White Sauce Pasta, Cheese Rolls, Veg Pasta, Pav Bhaji, Paneer Paratha Choley, Paratha, Cheesy Tacos, Hakka Noodles, Chilli Garlic Noodles, Fried, Chinese Bhel, Gulab Jamun, Mushroom Rolls, Chhole Bhature, Veg Noodles",5
 53 reviews ,4 stars,a year ago,,Pocket-Friendly family restaurant. Mostly crowded due to the locality and pricing. This place has self-service operation. You can have a quick bite here.,3,,,You can spend good time with you family here.,₹200–400,4,They serve good vegetarian foods.,,Brunch,,,,,,"White Sauce Pasta, Hakka Noodles, Chhole Bhature",4
 6 photos,1 star,3 months ago,,"If u order u will get ur food after 1 hour. Service so bad and pathetic
Not recommended to go.
Wastage of time.....",1,,,,,1,,,,,,,,,,1
 36 reviews ,4 stars,6 months ago,,"Food is good here at a reasonable price.
Waiting time is usually 10-25 Mins depending on what you order.
I Highly recommend Paneer Burger, tastes delicious.",4,Menu is all vegetarian,,,₹600–800,4,,,Lunch,,,,,Highly recommend,,4
 59 reviews ,4 stars,a year ago,,"Very good test of food and very cheapest restaurant 🤗. Very good restaurant for middle class family and couples 😌🥰
But this restaurant has self service.",2,,,,₹1–200,3,,,,,,,,,"Jugalbandi Pizza, Paneer Butter Masala, White Sauce Pasta, Veg Pasta, Pav Bhaji, Paneer Paratha Choley, Veggie Roll, Mushroom Rolls, Chhole Bhature",4
 39 reviews ,4 stars,a year ago,2,"It is good in quality and affordable for most of the person.
In 300-350  2 people can eat well",,,,,,,,,,,,,,,,
 9 reviews ,4 stars,4 months ago,,Food was good. Personally I am not satisfied with their services,3,,,,,3,,,,,,,,,,4
 2 photos,1 star,2 years ago,,"Very poor stale food, I ordered it in 30 minutes and got it in more than 90 minutes...with money back, my 259+ GST ​​food is so bad.",,,,,,,,,,,,,,,,
 19 reviews ,4 stars,4 months ago,,It's good for vegetarians. Self service and good food test..  but  always crowded.,3,Menu is all vegetarian,,,₹200–400,5,,,Dinner,,,,,Highly recommend,"White Sauce Pasta, Hakka Noodles, Chilli Garlic Noodles, Chhole Bhature",5
 118 reviews ,5 stars,a year ago,1,Tasty food. Good quality. Good ambience. Self service. At great location.,,,,,,,,,,,,,,,,
,1 star,3 months ago,,Very poor service. They add extra charges as fraud .we have ordered less but they add extra charges. I will never recommend capsicum. I visited with my in- laws for the first time and they embarrasse everyone.,1,,,,,1,,,,,,,,,,2
 19 reviews ,5 stars,3 months ago,,Nice place and budget friendly as well food is awesome . 500₹ for 3 people,5,,,,,5,,,,,,,,,,5
,3 stars,2 weeks ago,,Very congested environment with good food yet too costly food and noisy surroundings,2,,,,,1,,,Dinner,,,,,,,3
 84 reviews ,4 stars,11 months ago,1,You might have to wait for 15 or more minutes and this is a self service restaurant.,3,,,,₹1–200,4,,,Breakfast,Somewhat difficult to find parking,,Free street parking,,,,4
,1 star,a month ago,,Very bad service .I Have experienced yet all around the restaurant worst service.,,,,,,,,,,,,,,,,
 44 reviews ,5 stars,10 months ago,,"Best in the area.
Yummy food in budget.
The price is reasonable. Must try Chinese.",5,,,,₹1–200,4,,,Lunch,,,,,,Hakka Noodles,5
 50 reviews ,5 stars,2 years ago,2,5star ek nu restaurant good food quality ek km h self service hai,,,,,,,,,,,,,,,,
 111 reviews ,3 stars,2 years ago,1,Capsicum food court is really gud.. I dont know much.. But last time when I was there I had a dinner. And I found it quiet good. Very suitable for family. I suggest each and everyone. If u r in varansi give them chance to treat u.. I m sure u will love it. They had a lot of space.. But there is no entry way for handicap.. This is not gud. I request to capsicum plz do something for physicall disabled people. That's all from. My side,,,,,,,,,,,,,,,,
 18 reviews ,5 stars,2 years ago,,This place is very much affordable. You can get Chinese Indian south indian foods at very affordable price. Self service and cosy environment.  Best starting party option for BHU Student,,,,,,,,,,,,,,,,
 2 photos,1 star,a year ago,2,I m disappointed dis resturant .. I ordered Rice ...   Still waiting ...at least 35.. to 40 min ... Management services poor .. 😒,,,,,₹200–400,,,,Lunch,,,,,,,
 3 photos,5 stars,3 years ago,,"Maximum food are affordable and tasty here but lots of them doesn't taste well.
Good place for couples to date with affordable price.
No separate cabin is present.
Overall Best and affordable for Students..",,,,,,,,,,,,,,,,
 214 reviews ,4 stars,3 months ago,,"One of the best restaurant, I would say in Lanka Varanasi. Nice food, good service and pricing is also genuine.",4,Menu is all vegetarian,,,₹1–200,4,,,Dinner,,,,,Somewhat recommend,Masala Dosa,4
 17 photos,5 stars,8 months ago,,Delicious food and snacks in good price.,5,,,,₹400–600,5,,,Lunch,,,,,,"White Sauce, Jugalbandi Pizza, White Sauce Pasta, Cheesy Tacos, Gulab Jamun, Mushroom Rolls, Chhole Bhature",5
 23 reviews ,5 stars,a year ago,3,This is a great place to be with friends and family.. Nive food nice service,5,,,,₹200–400,4,,,Breakfast,,,,,,"White Sauce Pasta, Veg Pasta",5
 64 reviews ,3 stars,7 months ago,,"I ordered these items -

Cheese roll - Instead of cheese , there was mayo. However taste was decent but nothing great. 3/5

Paneer chilli roll - I felt there were very small pieces of paneer in the roll and maida parantha was too thick. 2/5.

Last year I also had few paneer main course items here. The service is slow and place was crowded. The main course items were also average in taste.

Overall, the quantity and price and decent taste , I will rate it 3/5 but nothing great as such. May as well choose to skip it next time.",3,,,,,4,,,,,,,,,,3
 113 reviews ,4 stars,3 years ago,,"Best veg and tasty food. The place is generally crowded on normal days and sometimes delayed orders may make u uncomfortable. Once I waited for almost 1 hr for my food, it was frustrating though.",,,,,,,,,,,,,,,,
 12 reviews ,4 stars,2 months ago,,"Very nice place for dine out. Food is tasty, good ambience.",4,Large vegetarian selection,,,₹200–400,5,,,Dinner,,,,,Highly recommend,"Jugalbandi Pizza, Paneer Butter Masala, Pav Bhaji, Chhole Bhature",5
 14 reviews ,5 stars,a year ago,,Loved it the taste of white sauce pasta is so yummy 🤤🤤and that Chinese combo was also too good …,,,,,,,,,,,,,,,,
 51 reviews ,5 stars,a month ago,,"Good food, self service and nice atmosphere to dine with friends  and family.",5,Large vegetarian selection,,,₹600–800,5,,,Brunch,,,,,Highly recommend,"Masala Dosa, Pav Bhaji, Chhole Bhature",5
 28 reviews ,1 star,a month ago,,"So poor taste and quality
That tastes so good",1,,,,₹200–400,1,,,Dinner,,,,,,,1
 10 reviews ,5 stars,a year ago,,Always good food. Timely service. Loved the (blueberry and kiwi) shakes.,,,,,,,,,,,,,,,,
 8 reviews ,1 star,2 years ago,1,Very worst food quality 😖😖😖😖😖. I ordered paneer noodles and it gives what i can't imagined .🤬🤬🤬🤬🤬 …,,,,,,,,,,,,,,,,
 1 photo,1 star,2 years ago,,"Date-08-07-2022
Where do I buy today? I also liked the taste of vehicle made from capsicum but the Paneer Sabji has gone bad. I packed it and brought it home. We did not eat Paneer Sabji. Photo is also attached.",,,,,,,,,,,,,,,,
 144 reviews ,4 stars,2 years ago,5,"This restaurant is very close to BHU gate.  Very tasty food is available here.  You will find the food here very tasty and you can enjoy it comfortably.  Here you can celebrate any birthday party.  Very good food is available.  You can come here with family, come with your friends, it is absolutely safe place, as soon as the food is good, you can also suit the photo very well, the most favorite of us here is paneer noodle and hakka noodle, it is bhu gate.  It is also easy to pass, you can come comfortably and enjoy with your friends.  Here you can enjoy all kinds of food.  By the way, most of the places people use different types of torches, but we got to see here that this thing has been given a lot of attention and torches have been used very wisely, which is the goodness of this restaurant.  .  Which is true to a large extent.  Due to which there will be no problem in your digestion.  You will also get a very good test and you will make your party even more fun.  We enjoyed a lot by going here, you also go friends with your family and you enjoy.",,,,,,,,,,,,,,,,
 10 photos,1 star,a year ago,,Instead of putting cheese in cheese roll or other item they use mayonnaise. Other food qualities are also getting low. And their employees always ignore the customers and not listening their queries or problems,,,,,,,,,,,,,,,,
 3 reviews,4 stars,2 months ago,,Its a nice place and actually it feels like a food plaze and not a restaurant,4,Menu is all vegetarian,,,₹400–600,4,God for veg people.,,Lunch,,,,,Highly recommend,"Masala Dosa, Paneer Butter Masala",4
 1 photo,4 stars,7 months ago,,"It is a good place for causal visit the food is mostly good but some are not,A personal issue with them is the pricing is very random like ₹126,67,183etc which even after coming up with tax is also random so very weird to be fair kindly Improve your price style",2,Menu is all vegetarian,,,₹200–400,3,,,Brunch,,,,,Highly recommend,"Masala Dosa, Gulab Jamun",4
,5 stars,5 months ago,,"The veg roll at your place was very good but the service was very bad, butter was just given water once and was not brought again.",,,,,,,,,,,,,,,,
 45 reviews ,4 stars,a year ago,,Very tasty food at very affordable price.,3,,,,₹1–200,3,,,Dinner,,,,,,Paneer Paratha Choley,4
 84 reviews ,5 stars,2 years ago,1,"I am 100% non veg food lover but this place change the definition of veg..  woww just woww  hakka noodles , baby corn chilli. Means you can have anything veg here. Everything cuisine is available, if you are in Varanasi then you must come here pnce. My veg friend recommended me this",,,,,,,,,,,,,,,,
 3 photos,1 star,a year ago,,Test of Kadhai paneer is very poor and quantity of jeera rice is too little. Totally unsatisfactory experience,,,,,,,,,,,,,,,,
 1 photo,1 star,a year ago,,"To prepare curd rice it took nearly 1 hour
Such a bad restaurant having no time sense
Which gave a bad experience in Hunger afternoon",Dine in,,,,,,,,Other,,,,,,,
 9 reviews ,3 stars,10 months ago,,"Good food
Price increased
Family restaurant",3,Menu is all vegetarian,,,₹200–400,3,,,Brunch,,,,,Highly recommend,"Jugalbandi Pizza, Masala Dosa, Paneer Butter Masala, White Sauce Pasta, Cheese Rolls, Pav Bhaji, Hakka Noodles, Chilli Garlic Noodles, Mushroom Rolls",4
 11 photos,5 stars,2 years ago,,"Good , hygienic place, cooperative and abled staff, delicious food
Delivery available as well",,,,,,,,,,,,,,,,
 248 reviews ,5 stars,10 months ago,1,"Very good staff, food is awesome,  parking roadside that is problematic.",5,,,,₹1–200,5,,,Dinner,,,,,,"Cheese Rolls, Pav Bhaji",5
 13 reviews ,4 stars,2 years ago,,"This is placed in Lanka Varanasi. They served a food in 1st and 2nd flour. Service of this place is very good. The taste of their food is very good.
And the palce is very peaceful. This is good place to visit with their friends and family.",,,,,,,,,,,,,,,,
 1 photo,1 star,a month ago,,Should inform the customer at the time of billing or keep notification that the order will take 30-40min,,,,,,,,,,,,,,,,
 57 reviews ,5 stars,2 weeks ago,,Nice experience with the greatest manners and I enjoyed the food,5,,,,₹200–400,5,,,Lunch,,,,,,White Sauce Pasta,5
 12 reviews ,3 stars,2 years ago,,"One of the best affordable restaurants in this area.I will always go there with my friends. veg Kolhapuri pizza, mushroom noodles, kadahi paneer are always my fav.....",,,,,,,,,,,,,,,,
 17 reviews ,4 stars,a year ago,1,"Here's paw bhaji like mazaa aagyaa
Also try pizza and pannier Chow-mein
With shoft drink🥰 …",,,,,,,,,,,,,,,,
 41 reviews ,2 stars,9 months ago,,"Need to work on taste specially Chinese. Ordered Chinese bhel , seems like a complete sauce bootle was put into the dish . Presentation of dish was beautiful yet the taste was horrible. At the end was not even able to finish the complete dish because of tangy flavour of sauces.",5,,,,₹200–400,3,,,Brunch,,,,,,,1
 1 photo,1 star,a year ago,1,Very bad as we waited for more than 1 hr for the food. Very poor service and the service should be improved.,Dine in,,,,₹200–400,,,,Dinner,,,,,,,
,1 star,5 months ago,,"Had heard many names, but today the test was very poor. It is a waste of money, Paneer Chilli was filled with only Paneer less Capsicum. Nonsense",,,,,,,,,,,,,,,,
 40 reviews ,4 stars,a year ago,,"The place is good if you are looking for just a snack or a meal and don't want to have a quality time with friends and family! Service was good, staff was helpful. The washrooms were clean. One water guy kept filling drinking water which was great! One thing which I personally didn't like is related to receiving my meal, it kept on coming on different counters on different timings! And hence I couldn't enjoy my meal properly as I had to get to the counters for next portion of my meal! But overall it's a good food court!",,,,,,,,,,,,,,,,
 14 reviews,4 stars,2 months ago,,Good food but service is slow,4,Large vegetarian selection,,,₹400–600,3,,,Lunch,,,,,Highly recommend,Masala Dosa,4
 25 reviews ,4 stars,a year ago,,"What we ordered- 1. Cheese roll 2. Veg biryani.
.
Price - pocket friendly
Quantity served- Good for 2
Quality - 3.7/5
Taste - Roll - 4/5 ,biryani - 3.5/5
Biryani taste had scope for improvement nevertheless its was decent if compared to many other places.
.
Time taken - as the place remains crowded in evening, time taken was decent and wait was adequate .
.
Ambience - consider it as fast moving restaurant so not very much user friendly or comfortable and may have to wait for seat and sometimes share seat with strangers too.",4,,"Disappointing for differently abled, please avoid going.",,₹200–400,3,"North Indian, Chinese Continental, south Indian",,Dinner,,,,,,,4
 28 reviews ,5 stars,2 years ago,1,"Reasonable Prices , Good Vibes but you have to wait minimum 15 or 20 minutes for your order and it's also depends on the crowd .
But CAPSICUM Kabhi free nhi rehta !",,,,,,,,,,,,,,,,
 82 reviews ,5 stars,2 years ago,1,"Great experience with it,Good taste,Dont forget to have pizza when ever u visit here",,,,,,,,,,,,,,,,
 41 reviews ,3 stars,10 months ago,,"Except food , everything was good,I don't know about others but my experience my not good as I was expecting after reading the reviews,it was most popular restaurant near to Lanka market,i ordered veg biryani and rajma chawal,veg biryani was good but rajma chawal was so bad,it was tasting like boiled rajma was served with pinch of turmeric powder was spread over the curry and without salt,after complaining about the taste ,one manager came to look,but he was saying "" sorry sir humare yaha aise Banaya jata hai""..no taste of masala and salt was coming ,itne der behas k badd bhi koi dusra option ni diya unki taraf se,so my experience was extremely poor",5,,,,₹200–400,5,,,,,,,,,,2
 168 reviews ,4 stars,a year ago,,It's a must visit place for bhu students.the price and food quality is overall good .,4,,,,₹200–400,4,It's a vegetarian restaurant,,Lunch,,,,,,"White Sauce Pasta, Paneer Paratha Choley",4
 10 reviews ,1 star,11 months ago,,"First and last experience, they took almost 40 minutes for a single order, and after complaining about the delay of 35 minutes they said ""late ho Raha hai toh order cancel kardo"". Customer ke time ki koi value he na ho jaise, that person was very arrogant I don't know who he was incharge or manager. Their token number display is useless, it changes in random sequence your order will never gonna show on that display.",1,,,,₹400–600,1,,,Dinner,,,,,,,1
 2 photos,3 stars,2 years ago,,Foods and atmosphere is so cool and nice.not so expensive.,,,,,,,,,,,,,,,,
 28 reviews ,4 stars,10 months ago,,"This best option for pure vegetarian people
They give best food in affordable rates....
Their kiwi shake is just so tasty....
They have self service and water is also of good quality...",4,,,,₹200–400,4,,,Dinner,Difficult to find parking,,Parking is unavailable,,,,4
 47 reviews ,3 stars,a year ago,2,Waiting time is more...Food quality is good.,,,,,,,,,,,,,,,,
 57 reviews ,4 stars,2 years ago,,Nice place for a short time spending in a limited budget,,,,,,,,,,,,,,,,
 5 photos,3 stars,6 months ago,,"Service is very bad... Self service is available and even then they take minimum 1 hr to delivery
Not happy at all",1,,,,₹200–400,4,,,Dinner,,,,,,,5
 33 reviews ,5 stars,a year ago,,Nice place to have fast food at a very reasonable price.,,,,,,,,,,,,,,,,
 15 reviews ,3 stars,a month ago,,Too crowded and self service. Feel like a worker.,2,,,,,1,,,,,,,,,,4
 1 photo,1 star,2 years ago,,"Babycorn was very raw & tasteless & non crispy and even too chillie, and the behaviour of manager was so rude",,,,,,,,,,,,,,,,
,1 star,a year ago,,My first dine in experience with them is awful. They didn't value their customers time the waiting time for the food dine in is too long . Food taste was also bad instead of paneer roll they are serving sweet roll which is too sweet in the taste..,,,,,,,,,,,,,,,,
 57 reviews ,4 stars,11 months ago,,It's a very nice restraunt in terms of quality food but so crowded and first floor customers doesn't gets nice hospitality. If you're on second floor you will have a good time and hospitality there. Overall it's a nice place for you if you are foody.,,,,,,,,,,,,,,,,
 3 photos,5 stars,5 months ago,,Very good food paneer chilli roll good test thanks so much for capsicum,5,,,,,5,,,Dinner,,,,,,,5
 46 reviews ,3 stars,2 years ago,,Everything here is well and good but now they downgraded the quantity of the food very much.,,,,,,,,,,,,,,,,
,4 stars,2 months ago,,affordable and excellent food good place for taking your friends,4,,,,,4,,,,,,,,,,5
 15 reviews ,3 stars,a year ago,,This place is popular among bhu students.  Sometimes you've to wait for approx. 30min to get a seat here bcuz not only students but local people with their families also come here to dine in as they serve pure veg and a very pocket friendly food. I won't say their food is super delicious but it's good (8/10).,3,,,,₹200–400,3,,,Dinner,,,,,,"Paneer Butter Masala, White Sauce Pasta",5
,1 star,11 months ago,,"I ordered Maharaja Thali of 21foods from here, the rate was Rs 516, that thali was so rubbish and disgusting that no matter how much I write about it, it will end up giving me even a little bit of garbage in the name of 21 food, hehe. I don't know how old it is that you smell and eat sweets… which means you are ashamed of yourself, what are you eating?

I will never order food from this poor restaurant...",1,,,,₹600–800,1,,,,,,,,,,1
 28 reviews ,4 stars,11 months ago,,"The food is tasty, self service, on sunday evenings you won't get a seat if you don't wait for more than 1 hour , atmosphere is good, family friendly, prices are good ( of course slightly high) but you gotta have pay a premium for premium place",3,,,,₹200–400,4,,,Dinner,,,,,,White Sauce Pasta,4
 12 reviews ,4 stars,a year ago,,"Self service ,
budget friendly
awesome taste",,,,,,,,,,,,,,,,
,1 star,a year ago,1,Most annoying thing about this restaurant is it's waiting time. They give priority to delivery food services than dining customers. The staff also are not very polite. Price is reasonable but experience is expensively bitter,1,,,,,,,,,,,,,,,
 121 reviews ,4 stars,11 months ago,,"Visit this restaurant to dine at if you feel hungry after gazing at Sankat Mochan Hanuman Temple. Chinese cuisine is  best at Capsicum Food Court. Food delivery is an important benefit of this place. Nicely cooked pizza, cheese rolls and paneer can make a good impression on you.",4,,,,₹1–200,4,,,Dinner,,,,,,"White Sauce Pasta, Hakka Noodles, Chilli Garlic Noodles, Veg Noodles",4
 30 reviews ,5 stars,a year ago,1,"Quality of food is good. They should work on time management and service
Self service must be removed",,,,,,,,,,,,,,,,
 410 reviews ,5 stars,2 years ago,1,"Very nice place, reasonable rate, good quantity and quality food.",,,,,,,,,,,,,,,,
 54 reviews ,5 stars,4 days ago,,Best quality foods and snacks are available there,5,,,,,5,,,,,,,,,,5
 105 reviews ,4 stars,3 years ago,,"Value for money place, food quality and taste are superb.
Must try",,,,,,,,,,,,,,,,
 575 reviews ,3 stars,a year ago,,"Not at all satisfied with the taste , earlier it was good but nowadays they are not maintaining their standard taste for which they were known for. I would suggest if you want to enjoy meal in own taste then you can select any other place rather than this, and for restaurant I will suggest that kindly maintain your standard which you were giving i.e in food taste and in service too.",2,,,,₹200–400,4,,,Lunch,,,,,,,3
,1 star,3 months ago,,Day by day this place is getting worst. Not at all worth a single penny.,1,,,,,1,,,,,,,,,,1
 34 reviews ,5 stars,2 years ago,,Best place for vegetarian near lanka and BHU. It has low prices than other restaurants nearby and good and tasty food 😋😋. …,,,,,,,,,,,,,,,,
 88 reviews ,3 stars,a year ago,,"Good place for vegetarian food but slow at service mostly as it is always overcrowded so try avoiding going here at evening. You can try french fries, pasta and noodles. Rest am not much sure. But definitely a hygienic place to eat at lanka.",3,,,,₹400–600,3,,,Dinner,,,,,,"White Sauce, White Sauce Pasta, Veg Pasta, Pav Bhaji, Hakka Noodles, Fried",3
,4 stars,a year ago,,"I just love eating food in capsicum... Menu is perfect ,different varieties... Self service there .I like the concept ... My favorite is chilly paneer roll which I definitely eat whenever I visit...food was fresh, properly prepared and had a great experience... I will prefer everyone to visit once at least.. food at very affordable price😋😋😍🤩
The mushroom and raita was really awesome and the paneer dishes were above average. The ambience is great with decent crowd to eat food with but it is possible that you might have to wait for a table. The restaurant is self service and the service is really slow.",,,,,,,,,,,,,,,,
,2 stars,a year ago,,"I have been a customer of Capsicum since last 3/4 years the most favorite item of Capsicum is Chilli Paneer Roll & Shake item.  Last few days ago I again visited Capsicum where it was less crowded than everyday, so we had to wait a bit, I requested their manager for a chair, he ignored me without listening to me, while I told him several times.  Called again and again saying Sir Bhaiya and requested for a chair, still they did not pay attention to me, no doubt the food at this place is the very delicious but the behavior at your place… I am very sad about this. Really very bad experience with the maneger. 🙏😔😔",1,,,,,,,,,,,,,,,5
 1 photo,1 star,2 years ago,,Worst place to eat...cold chowmin served n instant of fried rice normal veg pulav as seem khichdi was serving..,,,,,,,,,,,,,,,,
 5 photos,4 stars,4 months ago,,"Worth eating here
But they are always late",,,,,,,,,,,,,,,,
 20 reviews,3 stars,a year ago,,"Good for bhu students, a good place to hangout for college students, food is also decent and behaviour too.
Though it is mostly crowded so you will have to wait for your turn to get the order.",Dine in,,,,₹1–200,,,,Lunch,,,,,,,
 181 reviews ,5 stars,a year ago,,"Just want to visit again and again when comes to Varanasi. Absolutely loved the food here.. I didn't know abt such place but I accidentally ordered food as I needed vegetarian option so ordered alu paratha and choley from zomato and when I tasted it I surprised to have the taste like this.. So decided to go there with frnds and must say the food was as amazing as I have tasted yesterday.. Best vegetarian option in varanasi.
The staffs were very polite and well mannered and the place and atmosphere is also very good 👍 .",5,,,,₹200–400,5,Completely vegetarian,,Lunch,,,,,,"Masala Dosa, Paneer Paratha Choley, Chhole Bhature",5
,5 stars,a month ago,1,Foods are available at affordable price interior is beautiful and food tasty,5,,,,₹1–200,5,,,,,,,,,White Sauce Pasta,5
 187 reviews ,5 stars,2 years ago,1,"Good way of dealing with customer service is fast and all this because they also maintain food quality.
#travel_with_vivek",,,,,,,,,,,,,,,,
 18 reviews ,4 stars,2 years ago,,Nice restaurant to dine in and spend quality time with family members,,,,,,,,,,,,,,,,
 219 reviews ,3 stars,10 months ago,,It is a popular one with univercity students. Best for value place.,4,,,,₹200–400,3,,,Dinner,,,,,,,3
 3 photos,4 stars,a year ago,1,"North Indian and Chinese cuisine at Capsicum is a win win for me. It has reasonable pricing and adequate quantity. I had a bad experience with shakes here so won't recommend it. Overall an affordable and good option to go to in Lanka, Varanasi.",4,,,,₹1–200,4,,,,,,,,,,4
,1 star,a year ago,1,"Earlier it used to be a good restaurant, but as it got famous, it's quality and attitude of staff dwindled. Long waiting time without sequence, rude staff behaviour and crowd will add bitterness to your experience and ruins your mood.",1,,,,,,,,,,,,,,,
 42 reviews ,2 stars,2 months ago,1,"Waiting time is too much, especially for South Indian dishes.",2,,,,₹400–600,4,,,Lunch,,,,,,,3
,5 stars,7 months ago,,This place have awesome taste and ambiance...such a nice restaurant for awesome taste for # foodies only😋😋😋,4,,,,,4,,,,,,,,,,5
 4 photos,1 star,9 months ago,,"Pizza 🍕 Even 3rd class didn't like it... Money is not wasted in making pizza..
This was my first time.. or last time too...
Romaaz is the best place to try...Thora sa extra paisa bt full paisa wasool.",1,,,,,1,,,,,,,,,,1
 3 photos,1 star,3 years ago,1,"Omg I ordered saahi paneer from this restaurant through Zomato,they gave me worst saahi paneer and never refunded my money..",,,,,,,,,,,,,,,,
,1 star,a year ago,2,"Worst Service. Beware!!!
The entity/organizatiin claims to be a restaurant. It is not a restaurant. It is a sleeping rehabilitation center.  If you have difficulty in sleeping, look no further, come to this place.  Your order will take 1 1/2 hour (90 minutes). Within this time frame, there is a great possibility that you are going to take 4 to 5 power nap. I was introduced to this service on the dinner of 19 November. After complaining to the manager, he replied with a big smile as if nothing happened. Good luck to all of you who still want to eat here.",,,,,,,,,,,,,,,,
,2 stars,5 months ago,,Chilli garlic noodles taste is becoming hopeless day by day and quality too,4,,,,₹200–400,4,,,Dinner,,,,,,,2
 28 reviews ,5 stars,8 months ago,,Basically Capsicum is self served Restaurant and it's has good atmosphere for any couple and the food quality is upto mark ❣️ but it has a problem of parking bike and car also,4,,,,₹400–600,5,,,Lunch,,,,,,,4
 39 reviews ,3 stars,a year ago,,"The food is good and the atmosphere is also good. This Restaurant is near BHU Chauraha, Lanka and you can easily find this place. The menu contains a lot of different varieties of fast foods.",4,,,,,4,,,Brunch,,,,,,,3
 46 reviews ,5 stars,a year ago,2,"I am a hosteller from BHU and througout my hostel life, I have enjoyed Capsicum food at multiple occasions. Capsicum food court provides a student-friendly, family-friendly, and budget-friendly option to its customers. The menu has so much variety that you can eat there at the beginning of the month when you have enough money to eat something fancy or you could eat there at month end when the  budget is a little tight.

The food there is delicious. Anything you order from their menu will turn out to be delicious. I can say this because I have experimented with their menu and they have satisfied my taste buds everytime.

The quantity of their food is sufficient. you will get your money worth from Capsicum. I will recommend their white sauce pasta to you. It has served at dinner for me and my friends multiple times.

Update - still a good place to visit, a bit crowded but if you have more than 1 hour then you can go there.",5,,,,₹200–400,4,,,Dinner,,,,,,White Sauce Pasta,5
 25 photos,5 stars,4 weeks ago,,Very nice 👍 pizza juglbandi is delicious 😋,5,,,,₹400–600,5,,,Dinner,,,,,,,5
 39 reviews ,5 stars,a year ago,7,Awesome taste . Good quality. Very clean and hygienic. Good maintenance. The beautiful design of the restaurant is also very good . Must visit,5,,,,₹1–200,5,,,Other,,,,,,,5
 20 reviews ,5 stars,a year ago,,"Very good place, Food nice, pocket friendly and plenty options.
Near BHU,Lanka
Should try atleast once and you will be a fan.
Self service, Waiting a bit long but  बढ़िया खाना बनाने में समय लगता हैं।",Delivery,,,,₹600–800,,Plenty options,,Lunch,,,,,,,
 32 reviews ,4 stars,2 years ago,,"Value for money in every sense, food is more in quantity then expected so order accordingly.",,,,,,,,,,,,,,,,
 65 reviews ,3 stars,2 years ago,,"I like the food here because the food is very reasonable and this because of University area and tasty too, there are a lot of options to eat but the worst thing about this place is the hygiene, because every time I have been to this place, the utensils here. It is not found clean, every time it has happened that there is some leftover sticking in the utensils.No matter how much cleanliness you show from above, but this small mess fails all the cleanliness.

Hey guys this is my personal experience....you can go there if you want to have some good food.",,,,,,,,,,,,,,,,
,1 star,4 months ago,,Not a good service for parcel maximum time for packing,1,,,,₹400–600,3,,,Other,,,,,,,4
 12 reviews ,4 stars,a year ago,,One of the best place to have good food in budget,,,,,,,,,,,,,,,,
 4 photos,1 star,a year ago,,So badly he sirf the dosa . The pic I have uploaded.,1,,,,₹400–600,1,,,Other,,,,,,Masala Dosa,1
 17 reviews ,4 stars,2 years ago,1,Service and chilled water(RO i.e free) and above all the foods... especially which I ordered that is hakka noddle,,,,,,,,,,,,,,,,
 2 photos,4 stars,7 months ago,,"If I compare with the another restaurant this is  little good ,bcoz extra charge apply on the food ,packing,.etc",3,Menu is all vegetarian,,,"₹1,000–1,200",3,Good for vegetarian..,,Lunch,,,,,Highly recommend,"Paneer Butter Masala, Veg Pasta, Paratha, Hakka Noodles, Fried, Chhole Bhature, Veg Noodles",4
 48 reviews ,5 stars,3 months ago,,So delicious food.,5,"Menu is all vegetarian, Large vegetarian selection",,,₹200–400,,,,Lunch,,,,,Highly recommend,Aloo Paratha,5
 50 reviews ,5 stars,4 months ago,,"Good food and service.
Good vibes as well.",4,,,,₹400–600,5,,,Dinner,,,,,,"Veg Pasta, Cheesy Tacos, Chhole Bhature",4
 48 reviews ,5 stars,a year ago,,"I Love this place
And always visit",5,,,,,5,,,,,,,,,,5
 4 photos,4 stars,9 months ago,,"Overall it was good experience we reached at 9.30 pm resturant was not too crowded
Food's was also delicious",4,,,,₹1–200,4,,,Dinner,,,,,,,4
 1 photo,4 stars,a year ago,,"This place is good overall , but not on weekends or govt holidays, self service and prepaid service option is basically provided here , it's good for college going students but not for having dinner with family , bhu students gets special discount here.. on producing of valid identity card.",,,,,,,,,,,,,,,,
